Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
NAM,FIN,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,0
ALB,NOR,,,,,,,,,,,,,,,,,,,,,,,7,7,8,14,25,31,31,39,46,52,53,61,62
AGO,ROU,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,2,2,2,2,2,2,2,2
CHL,ECU,,,,,,,390,,,,650,290,410,,,200,,,41,7,8,9,8,12,5,5,1,,,,,,4,5,5
TON,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,4,2,4,2,2,0
TZA,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,4,4,4,4,9,9,9
LKA,NPL,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,8,7,7,2,2,2,2,2,2
JOR,BGR,,,,,,,,,,,,,,,,,,,,1,1,22,,,,,2,2,2,2,2,2,2,2,2
TUV,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,0
SLE,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,65,63,67,74,77,90,91,89
CMR,POL,,,,,,,,,,,,,,,,,,,,,,,4,5,8,11,13,14,14,14,15,15,13,13,11
KOR,CHE,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,,1,1,,,,,0
MWI,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8
*VA,ZMB,,2050,1200,1400,50,,260,960,1190,1250,250,90,100,2720,2860,3050,2900,3050,3123,3123,3313,3504,384,412,416,431,1482,1613,585,9512,9556,9542,9553,71,71
GEO,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2644,2701,2639,2664,1173,1385,1509,1943
CAF,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,11,10,10,9,9,9
CHN,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,18,45,67,75,88,93,95
MLI,GIN,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
YEM,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,2,2,3
HUN,ESP,,,,,,,,,,,,,,,,,4,4,4,4,,,,,,,,,,,,,,,
GIN,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CIV,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,8,23,16,5,17
HND,USA,,,,,,,,,,,,,,,,5,5,24,56,148,349,551,644,705,706,528,382,308,225,183,256,639,613,550,543
MRT,MAR,,,,,,,,,,,,,,,,,,,,,,1,1,,,22,22,22,21,21,2,,7,,
BGD,ARG,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,6,6,6,8,9,7,7,13,11
BFA,CAF,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,5,5
HND,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,13,,34,31,24,10
LBR,ECU,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,1,1,2,3,3,5,6,6
BHR,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2
NPL,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
BDI,FRA,,,,,,,,,,,,,,,,,,,,,,128,143,164,180,192,217,219,223,244,260,266,288,302,307
CHN,FRA,,,,,,,,,,,,,,,,,,,,,,980,924,841,790,615,527,442,372,399,440,493,570,665,858
GHA,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,25,39,44,46,49,52,56
BWA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4
GIN,DNK,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,3,4,4,6,6,6,6,6
AUT,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,53,44,62,25,14,5,3
NGA,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3
IDN,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
ROU,GRC,,,,,,,,190,200,80,150,90,310,330,470,,,,272,272,,,,,,,744,,,,,,,,
ZWE,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
*ST,BEL,,,,,,,,,,,,,,,,,,,,,,,,10,312,2,,322,309,338,366,13,13,,0
ROU,ITA,,,,,,772,854,967,941,882,921,934,900,868,817,869,740,593,537,485,439,393,360,332,,84,56,43,43,57,73,74,74,73,73
NOR,CAN,,,,,,,,,,,,,,,,,,,,2,,,2,2,,2,2,,,,1,1,1,1,1
MKD,FIN,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,12,13,13,14,15,8,9
PER,CRI,,,,,,,,,,,,,,,,,,,,,,,,,5,223,233,236,230,230,230,230,230,230,230
NGA,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
MNG,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,171,167,193,202,178,186,178
SOM,SEN,,,,,,,,,,,,,,,,,,,1,,,9,6,7,7,7,7,7,7,7,5,3,3,3,3
LBY,NZL,,,,,,,,,,,,,,,,,,,,,,2,7,7,,7,6,1,2,8,9,8,8,8,8
